i_item_sk,class_key,brand_key,container_key,size_key
462,Shoes:athletic,Farrow,Shoe Box,small
780,Electronics:televisions,Voltaic,Box,pro
1048,Shoes:womens,Farrow,Dust Bag,small
2029,Music:rock,Lonewave,Jewel Case,standard
3975,Sports:optics,Summitline,Box,small
4099,Women:swimwear,Ashgrove,Garment,M
5564,Jewelry:mens watch,Auravelle,Pouch,petite
5772,Shoes:mens,Stridewell,Dust Bag,medium
6505,Children:toddlers,Pippet,Poly Bag,newborn
8119,Home:mattresses,Marrowgate,Box,medium
10755,Children:toddlers,Pippet,Poly Bag,newborn
10818,Women:maternity,Willowmere,Garment,L
10903,Children:newborn,Pippet,Gift Box,toddler
11892,Music:country,Lonewave,Digipak,deluxe
13179,Music:rock,Cinderpath,Digipak,standard
13425,Electronics:automotive,Voltaic,Box,pro
13555,Women:fragrances,Willowmere,Garment,XS
13689,Home:mattresses,Marrowgate,Roll,medium
15457,Books:entertainments,Fernglade,Paperback,large-print
2723,Jewelry:mens watch,Auravelle,Jewel Box,petite
16197,Shoes:womens,Farrow,Dust Bag,large
16647,Home:mattresses,Marrowgate,Roll,small
457,Electronics:portable,Voltaic,Blister,compact
1677,Jewelry:costume,Auravelle,Pouch,petite
3330,Home:wallpaper,Marrowgate,Roll,small
4407,Music:country,Lonewave,Jewel Case,standard
5419,Books:reference,Bellwood,Paperback,pocket
5565,Jewelry:mens watch,Sablewynn,Pouch,statement
5595,Shoes:kids,Stridewell,Shoe Box,large
6055,Shoes:kids,Farrow,Dust Bag,medium
9084,Books:sports,Bellwood,Paperback,large-print
1694,Books:romance,Fernglade,Paperback,standard
14076,Electronics:scanners,Voltaic,Case,standard
14251,Jewelry:diamonds,Auravelle,Pouch,petite
14631,Home:bedding,Thistlecroft,Set,medium
3350,Jewelry:mens watch,Auravelle,Jewel Box,petite
15667,Home:rugs,Marrowgate,Set,large
4715,Music:rock,Lonewave,Digipak,single
17460,Books:arts,Bellwood,Paperback,pocket
17721,Women:fragrances,Willowmere,Poly Bag,XS
250,Books:travel,Bellwood,Paperback,pocket
251,Sports:hockey,Summitline,Bag,large
7366,Jewelry:mens watch,Auravelle,Pouch,statement
9898,Men:sports-apparel,Rowantree,Garment,S
1121,Shoes:womens,Farrow,Shoe Box,small
2150,Electronics:scanners,Voltaic,Blister,standard
3113,Men:shirts,Ironclad,Garment,M
3352,Men:sports-apparel,Ironclad,Garment,S
4828,Electronics:wireless,Voltaic,Box,compact
11264,Sports:optics,Summitline,Bag,medium
7358,Shoes:kids,Stridewell,Dust Bag,small
10648,Books:business,Bellwood,Paperback,standard
13832,Home:glassware,Marrowgate,Set,medium
12278,Shoes:athletic,Farrow,Shoe Box,large
13864,Sports:basketball,Summitline,Box,medium
15191,Books:romance,Bellwood,Paperback,standard
13865,Jewelry:pendants,Auravelle,Jewel Box,standard
14194,Jewelry:bracelets,Auravelle,Jewel Box,standard
14195,Men:shirts,Ironclad,Garment,L
14225,Home:bathroom,Marrowgate,Box,medium
16534,Home:kids,Marrowgate,Roll,small
15809,Books:romance,Bellwood,Hardcover,large-print
17066,Sports:tennis,Summitline,Bag,small
17494,Shoes:athletic,Stridewell,Shoe Box,large
18,Women:fragrances,Ashgrove,Poly Bag,M
19,Men:sports-apparel,Ironclad,Garment,M
48,Music:rock,Lonewave,Digipak,standard
1,Music:pop,Cinderpath,Jewel Case,deluxe
3,Home:decor,Marrowgate,Roll,medium
6,Men:pants,Rowantree,Poly Bag,L
7,Children:newborn,Bramblewick,Gift Box,infant
9,Women:swimwear,Willowmere,Garment,L
12,Home:furniture,Thistlecroft,Set,small
13,Jewelry:costume,Auravelle,Jewel Box,standard
15,Music:country,Lonewave,Digipak,deluxe
21,Jewelry:consignment,Auravelle,Pouch,petite
24,Women:dresses,Ashgrove,Garment,L
25,Women:swimwear,Willowmere,Poly Bag,XS
27,Jewelry:diamonds,Auravelle,Pouch,standard
30,Jewelry:mens watch,Auravelle,Jewel Box,statement
31,Sports:fishing,Summitline,Bag,small
33,Children:toddlers,Pippet,Poly Bag,toddler
36,Women:dresses,Willowmere,Garment,M
37,Men:accessories,Rowantree,Poly Bag,L
39,Books:business,Bellwood,Hardcover,pocket
42,Music:pop,Cinderpath,Digipak,standard
43,Books:travel,Fernglade,Hardcover,pocket
246,Jewelry:semi-precious,Auravelle,Jewel Box,statement
45,Jewelry:mens watch,Auravelle,Jewel Box,standard
49,Children:school-uniforms,Bramblewick,Poly Bag,toddler
51,Children:toddlers,Bramblewick,Gift Box,toddler
54,Women:dresses,Willowmere,Poly Bag,S
55,Women:swimwear,Willowmere,Poly Bag,L
57,Children:school-uniforms,Bramblewick,Poly Bag,newborn
60,Jewelry:womens watch,Auravelle,Pouch,statement
61,Electronics:musical,Voltaic,Box,pro
63,Men:shirts,Rowantree,Garment,M
66,Books:science,Bellwood,Paperback,large-print
67,Books:fiction,Fernglade,Hardcover,pocket
69,Women:fragrances,Willowmere,Poly Bag,XS
72,Women:fragrances,Willowmere,Garment,L
73,Women:maternity,Ashgrove,Garment,XS
75,Electronics:stereo,Voltaic,Box,compact
78,Jewelry:rings,Sablewynn,Pouch,statement
79,Electronics:televisions,Voltaic,Blister,pro
81,Shoes:mens,Stridewell,Shoe Box,medium
84,Men:sports-apparel,Rowantree,Poly Bag,XL
85,Men:pants,Ironclad,Garment,L
87,Children:newborn,Bramblewick,Gift Box,toddler
90,Music:rock,Cinderpath,Digipak,standard
91,Electronics:musical,Voltaic,Box,pro
93,Sports:fishing,Redridge,Case,small
96,Jewelry:birdal,Auravelle,Pouch,petite
97,Books:fiction,Fernglade,Hardcover,standard
99,Electronics:karoke,Voltaic,Blister,pro
102,Women:swimwear,Ashgrove,Garment,S
103,Shoes:womens,Stridewell,Shoe Box,medium
16144,Electronics:televisions,Voltaic,Case,standard
105,Jewelry:custom,Sablewynn,Pouch,standard
108,Electronics:automotive,Voltaic,Case,compact
109,Home:rugs,Marrowgate,Set,small
111,Electronics:televisions,Voltaic,Blister,standard
114,Home:furniture,Marrowgate,Roll,medium
115,Home:furniture,Marrowgate,Box,medium
117,Music:country,Cinderpath,Digipak,standard
