channel,warehouse,d_year,line_items,revenue
catalog,(null),2021,744,24747500
catalog,(null),2022,689,21620770
catalog,(null),2023,686,21096769
catalog,(null),2024,718,20754358
catalog,(null),2025,733,19393547
catalog,(null),2026,7,70250
catalog,Brno DC,2021,56887,3298704099
catalog,Brno DC,2022,56899,3341518827
catalog,Brno DC,2023,57556,3372963858
catalog,Brno DC,2024,57315,3353054864
catalog,Brno DC,2025,40342,2364188708
catalog,Brno DC,2026,710,41336521
catalog,Hradec Králové DC,2021,56985,3349139565
catalog,Hradec Králové DC,2022,56725,3314124914
catalog,Hradec Králové DC,2023,57629,3354956996
catalog,Hradec Králové DC,2024,56972,3342902495
catalog,Hradec Králové DC,2025,56815,3344526331
catalog,Hradec Králové DC,2026,681,40606955
catalog,Ostrava DC,2021,56805,3330421747
catalog,Ostrava DC,2022,57519,3392885789
catalog,Ostrava DC,2023,57172,3355490575
catalog,Ostrava DC,2024,57305,3360597903
catalog,Ostrava DC,2025,56754,3324170718
catalog,Ostrava DC,2026,693,39252363
catalog,Plzeň DC,2021,56941,3337391586
catalog,Plzeň DC,2022,56887,3346207859
catalog,Plzeň DC,2023,57097,3342431679
catalog,Plzeň DC,2024,57107,3337521002
catalog,Plzeň DC,2025,56818,3348600043
catalog,Plzeň DC,2026,669,39838769
catalog,Praha DC,2021,57326,3379240187
catalog,Praha DC,2022,56974,3331086782
catalog,Praha DC,2023,57395,3351046239
catalog,Praha DC,2024,57290,3336951298
catalog,Praha DC,2025,57150,3316687806
catalog,Praha DC,2026,699,42789198
web,(null),2021,25,584390
web,(null),2022,16,233610
web,(null),2023,17,212300
web,(null),2024,17,522400
web,(null),2025,13,212900
web,Brno DC,2021,28512,1666891855
web,Brno DC,2022,28164,1658012735
web,Brno DC,2023,28344,1655149889
web,Brno DC,2024,29387,1713986111
web,Brno DC,2025,28719,1686356207
web,Brno DC,2026,316,18507787
web,Hradec Králové DC,2021,28832,1686782064
web,Hradec Králové DC,2022,28818,1706997729
web,Hradec Králové DC,2023,28484,1669089710
web,Hradec Králové DC,2024,29637,1723192766
web,Hradec Králové DC,2025,28531,1692623743
web,Hradec Králové DC,2026,313,17312208
web,Ostrava DC,2021,28573,1677380044
web,Ostrava DC,2022,28692,1676621335
web,Ostrava DC,2023,28457,1668805044
web,Ostrava DC,2024,29607,1723492631
web,Ostrava DC,2025,28492,1697922940
web,Ostrava DC,2026,300,16950877
web,Plzeň DC,2021,28611,1688228998
web,Plzeň DC,2022,28550,1681412492
web,Plzeň DC,2023,28471,1667852797
web,Plzeň DC,2024,29327,1711503919
web,Plzeň DC,2025,28227,1642272309
web,Plzeň DC,2026,300,17478590
web,Praha DC,2021,28547,1706329821
web,Praha DC,2022,28617,1654816466
web,Praha DC,2023,28409,1662631130
web,Praha DC,2024,29044,1708386327
web,Praha DC,2025,28516,1675859486
web,Praha DC,2026,310,19043170
