w_warehouse_name,d_year,zero_rows,items_with_zero
Allentown DC,2021,441,430
Allentown DC,2022,468,460
Allentown DC,2023,430,420
Allentown DC,2024,453,438
Allentown DC,2025,445,436
Columbus DC,2021,433,425
Columbus DC,2022,446,435
Columbus DC,2023,428,420
Columbus DC,2024,426,418
Columbus DC,2025,440,426
Dallas DC,2021,450,440
Dallas DC,2022,455,433
Dallas DC,2023,483,472
Dallas DC,2024,480,469
Dallas DC,2025,457,449
Memphis DC,2021,435,424
Memphis DC,2022,467,456
Memphis DC,2023,438,431
Memphis DC,2024,404,395
Memphis DC,2025,106654,6395
Reno DC,2021,474,465
Reno DC,2022,461,453
Reno DC,2023,455,449
Reno DC,2024,436,428
Reno DC,2025,400,390
